Unternehmensname,Geschäftsführer,E-Mail-Adresse,Telefonnummer,Adresse,HRB-Nummer,UStID-Nummer,Website
Arztpraxis für ganzheitliche Therapie des Bewegungsapparates Andrea Meier-Greve,Frau Andrea Meier-Greve,prm@team4med.com,030-863 22039,"Fürstenwalder Damm 492, 12587 Berlin",N/A,N/A,www.team4med.com
NUSSBLAU e.U.,Mag. Michaela Honies,info@nussblau.com,+43 670 777 53 84,"Gumpendorfer Strasse 76/13, 1060 Wien, Österreich",FN 624783,ATU49433304,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.nussblau.com/
NUSSBLAU e.U. FN 624783 z,Mag. Michaela Honies,info@nussblau.com,+43 670 777 53 84,"Gumpendorfer Strasse 76/13, 1060 Wien, Österreich",nicht angegeben,ATU49433304,N/A
NUSSBLAU e.U.,Mag. Michaela Honies,info@nussblau.com,+43 670 777 53 84,"Gumpendorfer Strasse 76/13, 1060 Wien, Österreich",FN 624783 z,ATU49433304,https://www.nussblau.com/
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.pflanzen-koelle.de/
Pflanzen-Kölle Gartencenter GmbH & Co. KG,"Hans-Jörg Greimel, Klaus Kölle, Christian Jurisch, Michael Wittmann",Keine explizit genannte E-Mail-Adresse,+49 7131 15950,"Im Neckargarten 6, 74078 Heilbronn",Stuttgart HRB 104299,DE145807170,https://www.pflanzen-koelle.de/
Pflanzen-Kölle Gartencenter GmbH & Co. KG,"Hans-Jörg Greimel, Klaus Kölle, Christian Jurisch, Michael Wittmann",nicht angegeben (Kontaktformular ist verfügbar),07131 1595-111,Im Neckargarten 6,HRB 104299 (Amtsgericht Stuttgart),DE145807170,https://www.pflanzen-koelle.de/
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.zeit.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.zeit.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.neurorehabilitation-frommelt.de
Privatpraxis Dr. med. Peter Frommelt,Dr. med. Peter Frommelt,"dr.peter.frommelt@eclipso.de, p.frommelt@web.de",030-85960125,"Goßlerstr. 5, 14195 Berlin-Dahlem",(nicht im Text angegeben),DE266238915,https://www.neurorehabilitation-frommelt.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.saturn.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.saturn.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.saturn.de
