Unternehmensname,Geschäftsführer,E-Mail-Adresse,Telefonnummer,Straße und Hausnummer,PLZ,Ort,Land,HRB-Nummer,UStID-Nummer,Website
DtGV – Deutsche Gesellschaft für Verbraucherstudien mbH,"Oliver Hauf, Felix Küsell",N/A,+49 (0)30 609836290,Bornitzstr. 73-75,D-10365,Berlin,Deutschland,144153B,DE285643670,https://www.dtgv.de
DtGV – Deutsche Gesellschaft für Verbraucherstudien mbH,"Oliver Hauf, Felix Küsell",N/A,+49 (0)30 609836290,Bornitzstr. 73-75,D-10365,Berlin,Deutschland,144153B,DE285643670,https://www.dtgv.de
DtGV – Deutsche Gesellschaft für Verbraucherstudien mbH,"Oliver Hauf, Felix Küsell",N/A,+49 (0)30 609836290,Bornitzstr. 73-75,D-10365,Berlin,Deutschland,144153B,DE285643670,https://www.dtgv.de
Hugendubel Digital GmbH & Co. KG,"Per Dalheimer, Dr. Stefan Höllermann",N/A (Kontaktinformationen sind in der Textpassage angegeben),089 - 30 75 79 00 (Kontaktinformationen sind in der Textpassage angegeben),"Friesenweg 1, D-22763 Hamburg",22763,Hamburg,Deutschland,Amtsgericht Hamburg HRA 118925,DE300667265,https://www.hugendubel.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.thalia.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.amazon.de
buecher.de internetstores GmbH,Monica Sawhney | Roland Kölbl | Günter Hilger,N/A,(01806) 001 579,"Sitz der Gesellschaft: Batheyer Str. 115-117, 58099 Hagen",58099,Hagen,Deutschland,HRB 13257,DE450055826,https://www.buecher.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.buch.de
buecher.de internetstores GmbH,Monica Sawhney | Roland Kölbl | Günter Hilger,N/A,(01806) 001 579,"Sitz der Gesellschaft: Batheyer Str. 115-117, 58099 Hagen",58099,Hagen,Deutschland,HRB 13257,DE450055826,https://www.buecher.de
DtGV – Deutsche Gesellschaft für Verbraucherstudien mbH,"Oliver Hauf, Felix Küsell",info@dtgv.de,+49 (0)30 609836290,Bornitzstr. 73-75,10365,Berlin,Deutschland,144153B,DE285643670,https://www.dtgv.de
Hugendubel Digital GmbH & Co. KG,"Per Dalheimer, Dr. Stefan Höllermann",info@hugendubel.de,089 - 30 75 79 00,"Friesenweg 1, N/A (Hamburg)",22763,Hamburg,Deutschland,HRA 118925,DE300667265,https://www.hugendubel.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.thalia.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.amazon.de
buecher.de internetstores GmbH,Monica Sawhney | Roland Kölbl | Günter Hilger,service@buecher.de,(01806) 001 579,N/A,N/A,Hagen (Sitz der Gesellschaft) | Augsburg (Postanschrift),Deutschland,HRB 13257,DE450055826,https://www.buecher.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.buch.de
buecher.de internetstores GmbH,Monica Sawhney | Roland Kölbl | Günter Hilger,service@buecher.de,(01806) 001 579,N/A,N/A,Hagen (Sitz der Gesellschaft) | Augsburg (Postanschrift),Deutschland,HRB 13257,DE450055826,https://www.buecher.de
DtGV – Deutsche Gesellschaft für Verbraucherstudien mbH,"Oliver Hauf, Felix Küsell",info@dtgv.de,+49 (0)30 609836290,Bornitzstr. 73-75,10365,Berlin,Deutschland,144153B,DE285643670,https://www.dtgv.de
Hugendubel Digital GmbH & Co. KG,"Per Dalheimer, Dr. Stefan Höllermann",info@hugendubel.de,089 - 30 75 79 00,"Friesenweg 1, N/A (Hamburg)",22763,Hamburg,Deutschland,HRA 118925,DE300667265,https://www.hugendubel.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.thalia.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.amazon.de
buecher.de internetstores GmbH,Monica Sawhney | Roland Kölbl | Günter Hilger,service@buecher.de,(01806) 001 579,"Sitz der Gesellschaft: Batheyer Str. 115-117, 58099 Hagen",58099,Hagen,Deutschland,HRB 13257,DE450055826,https://www.buecher.de
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.buch.de
buecher.de internetstores GmbH,Monica Sawhney | Roland Kölbl | Günter Hilger,service@buecher.de,(01806) 001 579,"Sitz der Gesellschaft: Batheyer Str. 115-117, 58099 Hagen",58099,Hagen,Deutschland,HRB 13257,DE450055826,https://www.buecher.de
